rcore_module,rcore_type,kind,status,revcore_module,revcore_type,note
Audio,AudioCollection,class,PORTED,Audio,AudioCollection,RCore.Audio -> RevCore
Audio,ScriptGenerator,struct,PORTED,Audio,ScriptGenerator,RCore.Audio -> RevCore
Audio,AudioManager,class,PORTED,Audio,AudioManager,RCore.Audio -> RevCore
Audio,UISfxTriggeredEvent,struct,PORTED,Foundation,UISfxTriggeredEvent,RCore.Audio -> RevCore
Audio,BaseAudioManager,class,PORTED,Audio,BaseAudioManager,RCore.Audio -> RevCore
Audio,SfxSource,class,PORTED,Audio,SfxSource,RCore.Audio -> RevCore
Common,AnimEventListener,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,AssetsList,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/BigNumber,BigNumberD,class,RENAMED,Foundation,BigNumber,RCore double/float variants consolidated into one BigNumber (Phase 8 audit)
Common/BigNumber,BigNumberF,class,RENAMED,Foundation,BigNumber,RCore double/float variants consolidated into one BigNumber (Phase 8 audit)
Common/BigNumber,BigNumberAlphaExtension,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/BigNumber,BigNumberHelper,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Debug,Debug,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Debug,DebugDraw,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Debug,FOVInfo,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,DontDestroyedGroup,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,Env,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,IEncryption,interface,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,Encryption,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,EventDispatcher,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,void,delegate,PORTED,Foundation,void,RCore -> RevCore
Common,BaseEvent,interface,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,AddressableUtil,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,AssetBundleRef,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,AssetBundleWithEnumKey,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,AssetBundleWith2EnumKeys,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,AssetBundleWithIntKey,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,AssetBundleWrap,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,AssetRef_SpriteAtlas,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,AssetRef_FontAsset,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,ComponentRef,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,ComponentRef_SpriteRenderer,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,CameraHelper,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,ColorExtension,class,PORTED,Foundation,ColorExtension,RCore -> RevCore
Common/Helper,ColorHelper,class,PORTED,Foundation,ColorHelper,RCore -> RevCore
Common/Helper,ComponentHelper,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,ComponentExtension,class,PORTED,Foundation,ComponentExtension,RCore -> RevCore
Common/Helper,DebugDrawHelper,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,DateTimePickerWindow,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,EditorAssetUtil,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,SpriteInfo,struct,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,EditorBuildUtil,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,EditorComponentUtil,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,EditorDrawing,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,EditorFileUtil,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,GuiButton,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,GuiColor,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,GuiDropdownListEnum,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,GuiDropdownListInt,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,GuiDropdownListString,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,GuiFoldout,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,GuiHeaderFoldout,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,GuiInt,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,GuiObject,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,GuiTabs,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,GuiText,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,GuiToggle,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,IDraw,interface,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,EditorGui,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,EditorHelper,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,EditorLayout,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,EditorSerializedPropertyExtensions,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,GUIStyleHelper,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,JsonHelper,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,MathHelper,class,PORTED,Foundation,MathHelper,RCore -> RevCore
Common/Helper,MathExtension,class,PORTED,Foundation,MathExtension,RCore -> RevCore
Common/Helper,NameGenerator,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,void,delegate,PORTED,Foundation,void,RCore -> RevCore
Common/Helper,void,delegate,PORTED,Foundation,void,RCore -> RevCore
Common/Helper,void,delegate,PORTED,Foundation,void,RCore -> RevCore
Common/Helper,void,delegate,PORTED,Foundation,void,RCore -> RevCore
Common/Helper,bool,delegate,PORTED,Foundation,bool,RCore -> RevCore
Common/Helper,bool,delegate,PORTED,Foundation,bool,RCore -> RevCore
Common/Helper,RUtil,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,RUtilExtension,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,RandomExtension,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,StringBuilderExtension,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,TimeHelper,class,PORTED,Foundation,TimeHelper,RCore -> RevCore
Common/Helper,TimeExtension,class,PORTED,Foundation,TimeExtension,RCore -> RevCore
Common/Helper,TrajectoryHelper,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,ProjectileHelper,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,AnchorType,enum,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,TransformExtension,class,PORTED,Foundation,TransformExtension,RCore -> RevCore
Common/Helper,IPInfo,struct,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Helper,WebRequestHelper,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Pool,CustomPool,class,GAP,Pool,,no RevCore equivalent found — port or drop?
Common/Pool,PoolsContainer,class,PORTED,Pool,PoolsContainer,RCore -> RevCore
Common,REditorPrefContainer,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,REditorPref,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,REditorPrefBool,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,REditorPrefInt,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,REditorPrefFloat,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,REditorPrefDateTime,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,REditorPrefString,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,REditorPrefList,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,REditorPrefDict,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,REditorPrefObject,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,REditorPrefSerializableObject,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,REditorPrefEnum,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,REditorPrefVector,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,RMenu,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,RPlayerPrefContainer,class,RENAMED,Prefs,PlayerPrefContainer,RCore -> RevCore
Common,RPlayerPref,class,RENAMED,Prefs,PlayerPref,RCore -> RevCore
Common,RPlayerPrefBool,class,RENAMED,Prefs,PlayerPrefBool,RCore -> RevCore
Common,RPlayerPrefInt,class,RENAMED,Prefs,PlayerPrefInt,RCore -> RevCore
Common,RPlayerPrefFloat,class,RENAMED,Prefs,PlayerPrefFloat,RCore -> RevCore
Common,RPlayerPrefDateTime,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,RPlayerPrefString,class,RENAMED,Prefs,PlayerPrefString,RCore -> RevCore
Common,RPlayerPrefList,class,GAP,Prefs,,no scalar RevCore.Prefs equivalent for list-typed prefs (Phase 8 audit demoted from LIKELY — see gap-categories.md Bucket 17)
Common,RPlayerPrefDict,class,GAP,Prefs,,no scalar RevCore.Prefs equivalent for dict-typed prefs (Phase 8 audit demoted from LIKELY — see gap-categories.md Bucket 17)
Common,RPlayerPrefObject,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,RPlayerPrefSerializableObject,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,Roman,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,SceneLoader,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/SerializableDictionary,SerializableDictionary,class,PORTED,Foundation,SerializableDictionary,RCore -> RevCore
Common/SerializableDictionary,SerializedDictionary,class,PORTED,Foundation,SerializedDictionary,RCore -> RevCore
Common/SerializableDictionary,SerializableDictionaryDrawer,class,GAP,Foundation,,Editor drawer — runtime SerializableDictionary not the same target (Phase 8 audit demoted from LIKELY — see gap-categories.md Bucket 1)
Common/SerializableDictionary,SerializableKeyValue,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/SerializableDictionary,SerializableKeyValueDrawer,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/SerializableDictionary,UnityObjectWrapper,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/SerializableDictionary,AssetReferenceWrapper,class,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common/Timer,TimedAction,class,PORTED,Timer,TimedAction,RCore -> RevCore
Common/Timer,TimerEvents,class,GAP,Timer,,no RevCore equivalent found — port or drop?
Common/Timer,TimerEventsGlobal,class,GAP,Timer,,no RevCore equivalent found — port or drop?
Common/Timer,CountdownEvent,class,GAP,Timer,,no RevCore equivalent found — port or drop?
Common/Timer,ConditionEvent,class,GAP,Timer,,no RevCore equivalent found — port or drop?
Common/Timer,DelayableEvent,class,GAP,Timer,,no RevCore equivalent found — port or drop?
Common/Timer,CountdownEventsGroup,class,GAP,Timer,,no RevCore equivalent found — port or drop?
Common/Timer,ConditionEventsGroup,class,GAP,Timer,,no RevCore equivalent found — port or drop?
Common/Timer,TimerEventsInScene,class,GAP,Timer,,no RevCore equivalent found — port or drop?
Common/VFX,CFX_Component,class,GAP,,,RCore-only module — not in RevCore scope yet
Common/VFX,CFX_ParticleComponent,class,GAP,,,RCore-only module — not in RevCore scope yet
Common/VFX,CFX_ParticleComponentEditor,class,GAP,,,RCore-only module — not in RevCore scope yet
Common,RVector2,struct,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,RVector2Int,struct,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,RVector3,struct,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,RVector3Int,struct,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,RVector4,struct,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,YesNoNone,enum,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,PerfectRatio,enum,PORTED,Foundation,PerfectRatio,RCore -> RevCore
Common,UIPivot,enum,GAP,Foundation,,no RevCore equivalent found — port or drop?
Common,TapFeedback,enum,GAP,Foundation,,no RevCore equivalent found — port or drop?
Configuration.cs,Configuration,class,GAP,,,RCore-only module — not in RevCore scope yet
Configuration.cs,Env,class,GAP,,,RCore-only module — not in RevCore scope yet
Configuration.cs,Directive,class,GAP,,,RCore-only module — not in RevCore scope yet
Data/Common,BinaryDataSaver,class,GAP,Data,,no RevCore equivalent found — port or drop?
Data,ConfigCollection,class,GAP,Data,,no RevCore equivalent found — port or drop?
Data,ConfigCollectionEditor,class,GAP,Data,,no RevCore equivalent found — port or drop?
Data,ConfigCollectionEditor,class,GAP,Data,,no RevCore equivalent found — port or drop?
Data/JObjectDB,IJObjectHandler,interface,PORTED,Data,IJObjectHandler,RCore.Data.JObject -> RevCore
Data/JObjectDB,InjectAttribute,class,PORTED,Data,InjectAttribute,RCore.Data.JObject -> RevCore
Data/JObjectDB,JObjectDB,class,PORTED,Data,JObjectDB,RCore.Data.JObject -> RevCore
Data/JObjectDB,JObjectDBManager,class,PORTED,Data,JObjectDBManager,RCore.Data.JObject -> RevCore
Data/JObjectDB,JObjectDBManagerV2,class,RENAMED,Data,JObjectDBManager,now generic JObjectDBManager<T> over the collection type (Phase 8 audit)
Data/JObjectDB,IJObjectData,interface,PORTED,Data,IJObjectData,RCore.Data.JObject -> RevCore
Data/JObjectDB,JObjectData,class,PORTED,Data,JObjectData,RCore.Data.JObject -> RevCore
Data/JObjectDB,JObjectDataCollection,class,GAP,Data,,no RevCore equivalent found — port or drop?
Data/JObjectDB,JObjectDataCollectionEditor,class,GAP,Data,,no RevCore equivalent found — port or drop?
Data/JObjectDB,JObjectDataCollectionEditor,class,GAP,Data,,no RevCore equivalent found — port or drop?
Data/JObjectDB,JObjectHandler,class,RENAMED,Data,IJObjectHandler,class promoted to interface — consumers go from inheritance to implementation (Phase 8 audit)
Data/JObjectDB,IJObjectModel,interface,PORTED,Data,IJObjectModel,RCore.Data.JObject -> RevCore
Data/JObjectDB,JObjectModel,class,PORTED,Data,JObjectModel,RCore.Data.JObject -> RevCore
Data/JObjectDB,JObjectModelCollection,class,PORTED,Data,JObjectModelCollection,RCore.Data.JObject -> RevCore
Data/JObjectDB,JObjectModelCollectionEditor,class,GAP,Data,,Editor drawer for JObjectModelCollection; not a consumer-facing rename (Phase 8 audit demoted from LIKELY — see gap-categories.md Bucket 1)
Data/JObjectDB,JObjectModelCollectionEditor,class,GAP,Data,,Editor drawer for JObjectModelCollection; not a consumer-facing rename (Phase 8 audit demoted from LIKELY — see gap-categories.md Bucket 1)
Data/JObjectDB,NewDayStartedEvent,class,PORTED,Data,NewDayStartedEvent,RCore.Data.JObject -> RevCore
Data/JObjectDB,SessionData,class,PORTED,Data,SessionData,RCore.Data.JObject -> RevCore
Data/JObjectDB,SessionDataHandler,class,GAP,Data,,no RevCore equivalent found — port or drop?
Data/JObjectDB,ISessionModel,interface,PORTED,Data,ISessionModel,RCore.Data.JObject -> RevCore
Data/JObjectDB,SessionModel,class,PORTED,Data,SessionModel,RCore.Data.JObject -> RevCore
Data/KeyValueDB,KeyValueSS,class,GAP,Prefs,,no RevCore equivalent found — port or drop?
Data/KeyValueDB,KeyValueCollection,class,GAP,Prefs,,no RevCore equivalent found — port or drop?
Data/KeyValueDB,KeyValueDB,class,GAP,Prefs,,no RevCore equivalent found — port or drop?
Data/KeyValueDB,KeyValueDBManager,class,GAP,Prefs,,no RevCore equivalent found — port or drop?
Data/KeyValueDB,KeyValueDBManagerEditor,class,GAP,Prefs,,no RevCore equivalent found — port or drop?
Data/KeyValueDB,KeyValueDBManagerEditor,class,GAP,Prefs,,no RevCore equivalent found — port or drop?
Data/KeyValueDB,InvItemData,class,GAP,Prefs,,no RevCore equivalent found — port or drop?
Data/KeyValueDB,InventoryData,class,GAP,Prefs,,no RevCore equivalent found — port or drop?
Data/KeyValueDB,InvRPGItemData,class,GAP,Prefs,,no RevCore equivalent found — port or drop?
Data/KeyValueDB,InventoryRPGData,class,GAP,Prefs,,no RevCore equivalent found — port or drop?
