rcore_module,rcore_type,kind,status,revcore_module,revcore_type,note
Data/KeyValueDB,BigNumberData,class,GAP,Prefs,,no RevCore equivalent found — port or drop?
Data/KeyValueDB,BoolData,class,GAP,Prefs,,no RevCore equivalent found — port or drop?
Data/KeyValueDB,DataGroup,class,GAP,Prefs,,no RevCore equivalent found — port or drop?
Data/KeyValueDB,DateTimeData,class,GAP,Prefs,,no RevCore equivalent found — port or drop?
Data/KeyValueDB,FloatData,class,GAP,Prefs,,no RevCore equivalent found — port or drop?
Data/KeyValueDB,FunData,class,GAP,Prefs,,no RevCore equivalent found — port or drop?
Data/KeyValueDB,IntegerData,class,GAP,Prefs,,no RevCore equivalent found — port or drop?
Data/KeyValueDB,ListData,class,GAP,Prefs,,no RevCore equivalent found — port or drop?
Data/KeyValueDB,LongData,class,GAP,Prefs,,no RevCore equivalent found — port or drop?
Data/KeyValueDB,ObjectData,class,GAP,Data,,KeyValueDB.ObjectData is from the legacy KeyValueDB lineage; JObjectData is a different design. KeyValueDB is DROP per gap-categories.md Bucket 7 (Phase 8 audit demoted from LIKELY)
Data/KeyValueDB,StringData,class,GAP,Prefs,,no RevCore equivalent found — port or drop?
Data/KeyValueDB,TimedTaskData,class,GAP,Prefs,,no RevCore equivalent found — port or drop?
Data/RPGBase,AttributesCollection,class,GAP,,,RCore-only module — not in RevCore scope yet
Data/RPGBase,Attribute,class,GAP,,,RCore-only module — not in RevCore scope yet
Data/RPGBase,AttributeParseExtenstion,class,GAP,,,RCore-only module — not in RevCore scope yet
Data/RPGBase,Mod,class,GAP,,,RCore-only module — not in RevCore scope yet
Data/RPGBase,TimedMod,class,GAP,,,RCore-only module — not in RevCore scope yet
Data/RPGBase,LinkedMod,class,GAP,,,RCore-only module — not in RevCore scope yet
Data/RPGBase,ModsContainer,class,GAP,,,RCore-only module — not in RevCore scope yet
Inspector,AutoFillAttribute,class,PORTED,Inspector,AutoFillAttribute,RCore.Inspector -> RevCore
Inspector,AutoFillDrawer,class,GAP,Inspector,,no RevCore equivalent found — port or drop?
Inspector,CommentAttribute,class,PORTED,Inspector,CommentAttribute,RCore.Inspector -> RevCore
Inspector,CommentDecoratorDrawer,class,GAP,Inspector,,no RevCore equivalent found — port or drop?
Inspector,CreateScriptableObjectAttribute,class,PORTED,Inspector,CreateScriptableObjectAttribute,RCore.Inspector -> RevCore
Inspector,CreateScriptableObjectDrawer,class,GAP,Inspector,,no RevCore equivalent found — port or drop?
Inspector,DisplayEnumAttribute,class,PORTED,Inspector,DisplayEnumAttribute,RCore.Inspector -> RevCore
Inspector,DisplayEnumDrawer,class,GAP,Inspector,,no RevCore equivalent found — port or drop?
Inspector,ExposeScriptableObjectAttribute,class,PORTED,Inspector,ExposeScriptableObjectAttribute,RCore.Inspector -> RevCore
Inspector,ExposeScriptableObjectDrawer,class,GAP,Inspector,,no RevCore equivalent found — port or drop?
Inspector,FolderPathAttribute,class,PORTED,Inspector,FolderPathAttribute,RCore.Inspector -> RevCore
Inspector,FolderPathPropertyDrawer,class,GAP,Inspector,,no RevCore equivalent found — port or drop?
Inspector,HighlightAttribute,class,PORTED,Inspector,HighlightAttribute,RCore.Inspector -> RevCore
Inspector,HighlightPropertyDrawer,class,GAP,Inspector,,no RevCore equivalent found — port or drop?
Inspector,InspectorButtonAttribute,class,PORTED,Inspector,InspectorButtonAttribute,RCore.Inspector -> RevCore
Inspector,InspectorButton,class,GAP,Inspector,,no RevCore equivalent found — port or drop?
Inspector,ReadOnlyAttribute,class,PORTED,Inspector,ReadOnlyAttribute,RCore.Inspector -> RevCore
Inspector,ReadOnlyPropertyDrawer,class,GAP,Inspector,,no RevCore equivalent found — port or drop?
Inspector,SeparatorAttribute,class,PORTED,Inspector,SeparatorAttribute,RCore.Inspector -> RevCore
Inspector,SeparatorDecoratorDrawer,class,GAP,Inspector,,no RevCore equivalent found — port or drop?
Inspector,ShowIfAttribute,class,PORTED,Inspector,ShowIfAttribute,RCore.Inspector -> RevCore
Inspector,ShowIfDrawer,class,GAP,Inspector,,no RevCore equivalent found — port or drop?
Inspector,SingleLayerAttribute,class,PORTED,Inspector,SingleLayerAttribute,RCore.Inspector -> RevCore
Inspector,SingleLayerPropertyDrawer,class,GAP,Inspector,,no RevCore equivalent found — port or drop?
Inspector,SpriteBoxAttribute,class,PORTED,Inspector,SpriteBoxAttribute,RCore.Inspector -> RevCore
Inspector,SpriteBoxDrawer,class,GAP,Inspector,,no RevCore equivalent found — port or drop?
Inspector,TMPFontMaterialsAttribute,class,GAP,Inspector,,no RevCore equivalent found — port or drop?
Inspector,TMPFontMaterialsDrawer,class,GAP,Inspector,,no RevCore equivalent found — port or drop?
Inspector,TagSelectorAttribute,class,PORTED,Inspector,TagSelectorAttribute,RCore.Inspector -> RevCore
Inspector,TagSelectorPropertyDrawer,class,GAP,Inspector,,no RevCore equivalent found — port or drop?
Inspector,TimeStampAttribute,class,GAP,Inspector,,no RevCore equivalent found — port or drop?
Plugins,RNative,class,GAP,,,RCore-only module — not in RevCore scope yet
Plugins,JSONNodeType,enum,GAP,,,RCore-only module — not in RevCore scope yet
Plugins,JSONTextMode,enum,GAP,,,RCore-only module — not in RevCore scope yet
Plugins,JSONNodeExt,class,GAP,,,RCore-only module — not in RevCore scope yet
Plugins,JSONNode,class,GAP,,,RCore-only module — not in RevCore scope yet
Plugins,Enumerator,struct,GAP,,,RCore-only module — not in RevCore scope yet
Plugins,ValueEnumerator,struct,GAP,,,RCore-only module — not in RevCore scope yet
Plugins,KeyEnumerator,struct,GAP,,,RCore-only module — not in RevCore scope yet
Plugins,LinqEnumerator,class,GAP,,,RCore-only module — not in RevCore scope yet
Plugins,JSONArray,class,GAP,,,RCore-only module — not in RevCore scope yet
Plugins,JSONObject,class,GAP,,,RCore-only module — not in RevCore scope yet
Plugins,JSONString,class,GAP,,,RCore-only module — not in RevCore scope yet
Plugins,JSONNumber,class,GAP,,,RCore-only module — not in RevCore scope yet
Plugins,JSONBool,class,GAP,,,RCore-only module — not in RevCore scope yet
Plugins,JSONNull,class,GAP,,,RCore-only module — not in RevCore scope yet
Plugins,JSONLazyCreator,class,GAP,,,RCore-only module — not in RevCore scope yet
Plugins,JSON,class,GAP,,,RCore-only module — not in RevCore scope yet
Plugins,UniClipboard,class,GAP,,,RCore-only module — not in RevCore scope yet
UI/Button,JustButton,class,PORTED,UI,JustButton,RCore.UI -> RevCore.UI
UI/Button,JustButtonEditor,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI/Button,SimpleButton,class,RENAMED,UI,SimpleTMPButton,RevCore.UI.SimpleButton was deleted in v0.5.0 — drop-in replacement is SimpleTMPButton (TMP label)
UI/Button,SimpleButtonEditor,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI/Button,SimpleTMPButton,class,PORTED,UI,SimpleTMPButton,RCore.UI -> RevCore.UI
UI,HoledLayerMask,class,PORTED,UI,HoledLayerMask,RCore.UI -> RevCore.UI
UI,HoledLayerMaskEditor,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI/HomePage,HorizontalSnapScrollView,class,PORTED,UI,HorizontalSnapScrollView,RCore.UI -> RevCore.UI
UI/HomePage,SnapScrollItem,class,PORTED,UI,SnapScrollItem,RCore.UI -> RevCore.UI
UI,IgnoreScreenSafe,class,PORTED,UI,IgnoreScreenSafe,RCore.UI -> RevCore.UI
UI,ImageWithText,class,PORTED,UI,ImageWithText,RCore.UI -> RevCore.UI
UI,ImageWithTextTMP,class,PORTED,UI,ImageWithTextTMP,RCore.UI -> RevCore.UI
UI/Joystick,Joystick,class,PORTED,UI,Joystick,RCore.UI -> RevCore.UI
UI/Joystick,JoystickArea,class,PORTED,UI,JoystickArea,RCore.UI -> RevCore.UI
UI/Layout,HorizontalAlignment,class,RENAMED,UI,HorizontalAlignmentUI,UI suffix added to disambiguate from Unity TextAnchor (Phase 8 audit)
UI/Layout,Alignment,enum,PORTED,UI,Alignment,RCore -> RevCore.UI
UI/Layout,HorizontalAlignmentUI,class,PORTED,UI,HorizontalAlignmentUI,RCore.UI -> RevCore.UI
UI/Layout,Alignment,enum,PORTED,UI,Alignment,RCore.UI -> RevCore.UI
UI/Layout,IAligned,interface,PORTED,UI,IAligned,RCore.UI -> RevCore.UI
UI/Layout,TableAlignment,class,RENAMED,UI,TableAlignmentUI,UI suffix added to disambiguate (Phase 8 audit)
UI/Layout,TableLayoutType,enum,PORTED,UI,TableLayoutType,RCore -> RevCore.UI
UI/Layout,Alignment,enum,PORTED,UI,Alignment,RCore -> RevCore.UI
UI/Layout,TableAlignmentUI,class,PORTED,UI,TableAlignmentUI,RCore.UI -> RevCore.UI
UI/Layout,TableLayoutType,enum,PORTED,UI,TableLayoutType,RCore.UI -> RevCore.UI
UI/Layout,AlignmentVertical,enum,PORTED,UI,AlignmentVertical,RCore.UI -> RevCore.UI
UI/Layout,AlignmentHorizontal,enum,PORTED,UI,AlignmentHorizontal,RCore.UI -> RevCore.UI
UI/Layout,VerticalAlignment,class,RENAMED,UI,VerticalAlignmentUI,UI suffix added to disambiguate (Phase 8 audit)
UI/Layout,Alignment,enum,PORTED,UI,Alignment,RCore -> RevCore.UI
UI/Layout,VerticalAlignmentUI,class,PORTED,UI,VerticalAlignmentUI,RCore.UI -> RevCore.UI
UI/Layout,Alignment,enum,PORTED,UI,Alignment,RCore.UI -> RevCore.UI
UI/PanelStack,PanelController,class,PORTED,UI,PanelController,RCore.UI -> RevCore.UI
UI/PanelStack,PanelControllerEditor,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI/PanelStack,PanelRoot,class,PORTED,UI,PanelRoot,RCore.UI -> RevCore.UI
UI/PanelStack,PanelRootEditor,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI/PanelStack,PanelStack,class,PORTED,UI,PanelStack,RCore.UI -> RevCore.UI
UI/PanelStack,PushMode,enum,PORTED,UI,PushMode,RCore.UI -> RevCore.UI
UI/PanelStack,PanelStackEditor,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI/PanelStack,PanelStackEditor,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,ProgressBar,class,PORTED,UI,ProgressBar,RCore.UI -> RevCore.UI
UI,FillDirection,enum,PORTED,UI,FillDirection,RCore.UI -> RevCore.UI
UI,ProgressBarEditor,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,ProgressBarEditor,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,ScreenSafeArea,class,PORTED,UI,ScreenSafeArea,RCore.UI -> RevCore.UI
UI/Scrollview,OptimizedHorizontalScrollView,class,PORTED,UI,OptimizedHorizontalScrollView,RCore.UI -> RevCore.UI
UI/Scrollview,OptimizedHorizontalScrollViewEditor,class,GAP,UI,,Editor drawer; not a consumer-facing rename (Phase 8 audit demoted from LIKELY — see gap-categories.md Bucket 1)
UI/Scrollview,OptimizedHorizontalScrollViewEditor,class,GAP,UI,,Editor drawer; not a consumer-facing rename (Phase 8 audit demoted from LIKELY — see gap-categories.md Bucket 1)
UI/Scrollview,OptimizedScrollItem,class,PORTED,UI,OptimizedScrollItem,RCore.UI -> RevCore.UI
UI/Scrollview,OptimizedScrollItemTest,class,GAP,UI,,Test scene fixture; not a consumer-facing type (Phase 8 audit demoted from LIKELY)
UI/Scrollview,ScrollDirection,enum,PORTED,UI,ScrollDirection,RCore.UI -> RevCore.UI
UI/Scrollview,OptimizedScrollView,class,PORTED,UI,OptimizedScrollView,RCore.UI -> RevCore.UI
UI/Scrollview,OptimizedVerticalScrollView,class,PORTED,UI,OptimizedVerticalScrollView,RCore.UI -> RevCore.UI
UI/Scrollview,ScrollRectEx,class,PORTED,UI,ScrollRectEx,RCore.UI -> RevCore.UI
UI/Toggle,CustomToggleGroup,class,PORTED,UI,CustomToggleGroup,RCore.UI -> RevCore.UI
UI/Toggle,CustomToggleSlider,class,RENAMED,UI,JustToggle,CustomToggleSlider deleted from both frameworks in v0.5.0 — JustToggle is the drop-in replacement
UI/Toggle,CustomToggleEditor,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI/Toggle,JustToggle,class,PORTED,UI,JustToggle,RCore.UI -> RevCore.UI
UI/Toggle,SizeTransition,class,PORTED,UI,SizeTransition,RCore.UI -> RevCore.UI
UI/Toggle,PositionTransition,class,PORTED,UI,PositionTransition,RCore.UI -> RevCore.UI
UI/Toggle,ColorTransition,class,PORTED,UI,ColorTransition,RCore.UI -> RevCore.UI
UI/Toggle,SpriteTransition,class,PORTED,UI,SpriteTransition,RCore.UI -> RevCore.UI
UI/Toggle,CustomToggleTabEditor,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,ITweenItem,interface,PORTED,UI,ITweenItem,RCore.UI -> RevCore.UI
UI,UICircleArranger,class,PORTED,UI,UICircleArranger,RCore.UI -> RevCore.UI
Services/Ads,AdMobProvider,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Ads,ApplovinProvider,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Ads,IAdProvider,interface,GAP,,,RCore-only module — not in RevCore scope yet
Services/Ads,IRewardedAdListener,interface,GAP,,,RCore-only module — not in RevCore scope yet
Services/Ads,IInterstitialAdListener,interface,GAP,,,RCore-only module — not in RevCore scope yet
Services/Ads,IBannerAdListener,interface,GAP,,,RCore-only module — not in RevCore scope yet
Services/Ads,IronSourceProvider,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,ABConfigPropertyDrawer,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,RFirebase,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,RFirebaseAnalytics,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,AnalyticEvent,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,RFirebaseAuth,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,RFirebaseCrashlytics,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,RDatabaseReference,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,RFirebaseDatabase,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,PlayerIdentityDoc,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,PlayerDataDoc,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,RFirebaseFirestore,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,PlayerIdentityDoc,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,PlayerDataDoc,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,RFirebaseFirestore,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,IRemoteConfig,interface,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,RFirebaseRemote,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,ABConfig,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,WaitForTaskStorage,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,SavedFileDefinition,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Firebase,RFirebaseStorage,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/GameServices,GameServices,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/GameServices,ConflictResolutionStrategy,delegate,GAP,,,RCore-only module — not in RevCore scope yet
Services/GameServices,ISavedGameMetadata,interface,GAP,,,RCore-only module — not in RevCore scope yet
Services/GameServices,SelectUIStatus,enum,GAP,,,RCore-only module — not in RevCore scope yet
Services/GameServices,GameServices,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/GameServices,GameServices,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/GameServices,AskFriendResolutionStatus,enum,GAP,,,RCore-only module — not in RevCore scope yet
Services/GameServices,GameServices,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/IAP,IAPManager,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Notification,DefaultSerializer,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Notification,GameNotification,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Notification,IPendingNotificationsSerializer,interface,GAP,,,RCore-only module — not in RevCore scope yet
Services/Notification,NotificationsManager,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Notification,OperatingMode,enum,GAP,,,RCore-only module — not in RevCore scope yet
Services/Notification,NotificationsPlatform,class,GAP,,,RCore-only module — not in RevCore scope yet
Services/Notification,PendingNotification,class,GAP,,,RCore-only module — not in RevCore scope yet
UI,ContentRectSizeFilter,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI/DragDrop,UIDragController,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI/DragDrop,UIDragHandler,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI/DragDrop,UIDraggableItem,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI/DragDrop,UIDraggableWorldItem,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,LeftSnapScrollView,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,PointerAlignment,enum,GAP,UI,,no RevCore equivalent found — port or drop?
UI,MessageWithPointer,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,MessagesHUD,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,Message,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,Bubble,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,Notification,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,ResolutionFixer,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,CanvasResolutionFixerEditor,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,UIGridScaler,class,GAP,UI,,no RevCore equivalent found — port or drop?
UI,ScaleType,enum,GAP,UI,,no RevCore equivalent found — port or drop?
UI,VerticalSnapScrollView,class,GAP,UI,,no RevCore equivalent found — port or drop?
